,Datetime,Text,retweets,likes
10,2020-07-21 06:21:14+00:00,"My worst enemy will be whoever will accuse my death is from Covid-19,I will awake from the dead and destroy him/her #Staysafe #Stayathome #",0,1
11,2020-07-21 05:59:14+00:00,@handleyangu Stay safe fam 👊,0,1
12,2020-07-21 05:30:46+00:00,"Are you looking to buy Farmer's Choice products at exceptionally low prices...? Visit us at Kahawa West off kamiti road for exceptionally low prices...!!

#StaySafe #feedingthenation #tuesdayvibes #lowprices https://t.co/3QYaxq6nSi",1,6
13,2020-07-21 04:37:31+00:00,"? 

#washyourhands #stayhome #staysafe #socialdistancing #quarantine #stayhealthy #stayathome #flattenthecurve #besafe #lockdown #health #soap #quarantinelife #shoplocal #donttouchyourface #handsanitizer #staystrong… https://t.co/u6jNbfAc47",0,0
14,2020-07-21 03:41:10+00:00,"Roses are redˏoceans are blueˏthis is me in isolation how about you? 

#washyourhands #stayhome #staysafe #socialdistancing #quarantine #stayhealthy #stayathome #flattenthecurve #besafe #lockdown #health #soap… https://t.co/K7nGkMubOO",0,0
15,2020-07-21 02:21:16+00:00,You can live a positive lifestyle even if you are having difficulties &amp; problems or your life conditions are negative. All you need is to strive to change your attitude towards life with a little effort &amp; perseverance #paladintrading #TuesdayThoughts #StaySafe #tuesdayvibes https://t.co/0KhYM0Bx44,0,1
16,2020-07-20 18:16:58+00:00,Royal Media services have several covid 19 positive cases. Some have been asymptotic. The question is how many were infected by these? Covid is real people. #StaySafe,0,0
17,2020-07-20 17:37:27+00:00,🤷🏾‍♂️y drink and drive when you can smoke and fly stay safe out there 😎🔥🔥lyt another https://t.co/wvEx1LpEaw,0,0
18,2020-07-20 15:32:18+00:00,"@Sevhic_ I hear you. Stay safe. It’s getting colder over here but keeping warm on the road and trails.

I’m sure that even if you do t get to 300, you will be somewhere close by. I’m pushing for 250.",0,0
19,2020-07-20 15:24:28+00:00,"@Abdiaziz_Xl @Wickliffe_ @KoinangeJeff Mtu kama Jeff ako na pesa
Hata kama atalipwa how much ndio afanye advert ya coronavirus
Stay safe guys",0,1
