,Datetime,Text,retweets,likes
68,2020-06-06 05:52:07+00:00,"#UhuruDontLiftLockdown
Wanjohi waiting to disappoint kenyans https://t.co/2GH7VbShxQ",0,1
69,2020-06-06 05:46:23+00:00,"#UhuruDontLiftLockdown #agentsofchaos The 'Man of God' has turned for black magic 🙌 protection.SAD! 
@AmakanjiThomas @makaumutua https://t.co/3elEk9OTaU",0,3
70,2020-06-06 05:46:05+00:00,"You garbage don't lift lockdown mofo 

#UhuruDontLiftLockdown",0,2
71,2020-06-06 05:35:33+00:00,"Venye Subaru boys wanasubiri Prezo afungue mipaka 
#UhuruDontLiftLockdown https://t.co/4DhJOuel7C",0,0
72,2020-06-06 05:33:08+00:00,"My thoughts on why @tanashdonna latest hit is an introduction of THE NEW TANASHA DONNA 

FULL EPISODE HERE - https://t.co/TKwww5qMeP

#WilkingsPodcastNetwork #UhuruDontLiftLockdown #6thjune #HappySabbath #Nandi #CurfewinKenya #EastAfricans #PresidentUhuruKenyatta https://t.co/AMwonLcImK",0,4
73,2020-06-06 05:33:01+00:00,"Mr President,I want to submit my taskforce report..nipigie simu tuongee #UhuruDontLiftLockdown",0,0
74,2020-06-06 05:31:04+00:00,"#UhuruDontLiftLockdown 
#6thjune 
#June6th https://t.co/DteBmA48Jr",0,2
75,2020-06-06 05:29:30+00:00,"But President Uhuru should not put this nation at risk just because some few people miss alcohol and sex.. Let curfew stay.

#UhuruDontLiftLockdown",0,3
76,2020-06-06 05:25:59+00:00,Halafu prezzo c ukumbuke kale kabiashara kangu ka kuonyesha football pale majimazuri mwiki.ukataje so that makarao  #UhuruDontLiftLockdown,0,0
77,2020-06-06 05:18:44+00:00,"There are Active Rumours that Uhuru Kenyatta Met DP William Ruto at DP's Karen Home for 8 hours Yesterday.

TANGATANGA Supporters are about to get excited 

#UhuruDontLiftLockdown #6thjune https://t.co/IXG6tNXzqK",3,49
78,2020-06-06 05:17:40+00:00,"Wenye walituma fare poleni 
#UhuruDontLiftLockdown",0,0
79,2020-06-06 05:17:20+00:00,Game ya man u na Tottenham ni 10:15pm.plz uhunye usifanye tusikilize hiyo game kwa radio. #UhuruDontLiftLockdown,0,0
80,2020-06-06 05:11:25+00:00,"#UhuruDontLiftLockdown
The chronicles of #6thjune 😂😂
Wadau nitume fare ama ningoje kamwana anene https://t.co/DXWo59TExo",0,0
81,2020-06-06 05:09:11+00:00,"6.6.2020, what do you expect today from President Hon.  Uhuru Kenyatta? Lives or Livelihood? 
#June6th 
#UhuruDontLiftLockdown 
#Uhurustoughchoices https://t.co/FuAglv33lv",0,0
82,2020-06-06 04:48:18+00:00,"Good morning His Majesty, the President of Presidents, His Excellency Uhuru Muigai, we love you our Darling and we just hope that you had a lovely night. We have just switched on our TVs and wishing you a delicious breakfast as we watch cartoon          #UhuruDontLiftLockdown https://t.co/DfUiroOfVU",8,68
83,2020-06-06 04:30:54+00:00,Those who are saying #UhuruDontLiftLockdown on #6thjune we know how you go to your rural homes. President Uhuru Kenyatta consider the rest who don't have this means of reaching to shagz. https://t.co/Hucfz7evTm,0,14
84,2020-06-06 04:07:59+00:00,@incredibleruna @RuthitaMars @MorwabeSylvia @SylviaKasanga @SakajaJohnson @IrynWere @DortyWason @godfrey_waka @KennedyOdede thanks so much for the input. #hygienefirst #KomeshaCorona #UhuruDontLiftLockdown https://t.co/kR78sSroAr,0,3
85,2020-06-06 04:07:53+00:00,The men complaining about dryspell. My niqqa you had dryspell even before the curfew. #UhuruDontLiftLockdown https://t.co/N9vnvYryUT,0,3
86,2020-06-06 04:01:08+00:00,"From Dandora to Kibagare and Ndumboini , @CrimeSiPoaKenya youth powered by @hope2shine @Global4Children marked the W.E.D by opening long clogged drainages. @MOH_Kenya @NMS_Kenya @StateHouseKenya @tedkwaka #hygienefirst #UhuruDontLiftLockdown #BlackLivesMatter #June6th https://t.co/fLcJc910qu",7,17
87,2020-06-05 20:17:46+00:00,I’m actually for #UhuruDontLiftLockdown 🤭,1,2
88,2020-06-05 19:45:10+00:00,"This Hash tag is not only stupid but its the real Pandemic itself. There's no better time than now. Open up the country asap

#UhuruDontLiftLockdown",0,0
89,2020-06-05 19:21:09+00:00,"#June6th saga continues. Mtakuwa disappointed 
#June6th
#UhuruDontLiftLockdown https://t.co/o7y2R47Q8J",4,13
